protein,coefficient,enrichment,recall,precision,celltype.l3,protein_order
CD325,1.179,31.813,0.176,0.510,NK_4,4
CD314,1.125,31.664,0.185,0.507,NK_4,5
`CD3-1`,-1.175,31.687,0.177,0.508,NK_4,6
`CD38-1`,-0.752,32.558,0.219,0.522,NK_4,7
CD18,-1.641,32.271,0.235,0.517,NK_4,8
CD21,-0.855,32.683,0.231,0.524,NK_4,9
CD117,-0.624,32.705,0.235,0.524,NK_4,10
`CD56-1`,2.735,78.598,0.497,0.804,NK_CD56bright,1
`CD44-2`,3.430,79.989,0.622,0.819,NK_CD56bright,2
CD335,1.290,80.845,0.671,0.827,NK_CD56bright,3
CD117,1.243,82.377,0.729,0.843,NK_CD56bright,4
CD122,0.774,82.302,0.725,0.842,NK_CD56bright,5
CD99,-3.112,84.282,0.785,0.863,NK_CD56bright,6
CD161,-2.026,83.939,0.788,0.859,NK_CD56bright,7
`CD275-1`,0.129,83.762,0.789,0.857,NK_CD56bright,8
`CD56-2`,1.898,84.714,0.794,0.867,NK_CD56bright,9
CD43,-2.317,85.574,0.815,0.876,NK_CD56bright,10
CD235ab,2.357,666.000,0.440,0.607,Eryth,1
CD207,0.998,658.800,0.429,0.600,Eryth,2
CD49a,-0.073,658.800,0.429,0.600,Eryth,3
CD107a,0.498,677.100,0.440,0.617,Eryth,4
CD161,-1.274,634.781,0.440,0.578,Eryth,5
CD294,1.775,641.908,0.452,0.585,Eryth,6
CD203c,0.140,641.908,0.452,0.585,Eryth,7
`CD56-1`,-1.023,714.571,0.488,0.651,Eryth,8
CD235a,0.262,708.387,0.476,0.645,Eryth,9
CD45RB,-0.586,709.477,0.500,0.646,Eryth,10
CD34,5.047,239.940,0.827,0.858,HSPC,1
CD117,2.571,266.431,0.927,0.953,HSPC,2
`LOX-1`,2.152,266.511,0.933,0.954,HSPC,3
`CD133-2`,3.715,271.703,0.952,0.972,HSPC,4
CD274,-1.400,271.727,0.955,0.972,HSPC,5
`CD138-2`,-1.219,271.727,0.955,0.972,HSPC,6
CD140b,1.734,271.751,0.958,0.972,HSPC,7
`Rag-IgG2c`,-0.144,271.751,0.958,0.972,HSPC,8
CD196,-0.629,272.569,0.955,0.975,HSPC,9
CD273,0.666,271.727,0.955,0.972,HSPC,10
CD110,2.099,34.010,0.763,0.846,Platelet,1
CD193,0.195,34.320,0.768,0.854,Platelet,2
GP130,0.914,34.671,0.776,0.862,Platelet,3
`TCR-V-9`,1.023,34.688,0.776,0.863,Platelet,4
CD42b,0.405,34.621,0.776,0.861,Platelet,5
`CD45-2`,-4.270,38.767,0.928,0.964,Platelet,6
CD49d,-2.545,39.385,0.942,0.980,Platelet,7
CD117,-0.960,39.348,0.940,0.979,Platelet,8
`CD11b-1`,0.343,39.365,0.939,0.979,Platelet,9
CD235ab,0.052,39.348,0.939,0.979,Platelet,10
CD25,4.497,205.474,0.060,0.296,ILC,1
CD117,2.816,646.798,0.729,0.933,ILC,2
CD161,3.734,637.094,0.850,0.919,ILC,3
CD325,2.362,637.548,0.857,0.919,ILC,4
CD55,0.019,637.548,0.857,0.919,ILC,5
CD207,0.419,637.548,0.857,0.919,ILC,6
CD178,2.868,626.900,0.850,0.904,ILC,7
CD71,0.038,631.956,0.850,0.911,ILC,8
`CD11a/CD18`,2.655,626.900,0.850,0.904,ILC,9
CD274,-0.181,631.956,0.850,0.911,ILC,10
CD27,0.825,485.432,0.005,1.000,dnT_1,1
CD45RA,1.419,485.432,0.005,1.000,dnT_1,2
CD28,2.090,23.116,0.005,0.048,dnT_1,3
CD31,0.996,20.226,0.005,0.042,dnT_1,4
CD81,0.506,15.170,0.005,0.031,dnT_1,5
`CD44-1`,-2.949,28.555,0.011,0.059,dnT_1,6
`TCR-V-24-J-18`,1.807,37.341,0.016,0.077,dnT_1,7
CD109,-1.542,62.235,0.026,0.128,dnT_1,8
CD8a,-0.831,85.163,0.053,0.175,dnT_1,9
CD314,1.828,149.913,0.111,0.309,dnT_1,10
CD28,3.924,45.750,0.006,0.083,dnT_2,1
`CD38-1`,2.482,217.707,0.137,0.397,dnT_2,2
CD31,3.120,323.300,0.315,0.589,dnT_2,3
CD140b,1.893,334.174,0.333,0.609,dnT_2,4
CD200,1.401,398.176,0.393,0.725,dnT_2,5
CD71,-1.138,376.457,0.429,0.686,dnT_2,6
CD48,-1.377,381.686,0.435,0.695,dnT_2,7
CD93,-1.014,386.914,0.440,0.705,dnT_2,8
CD235ab,0.774,390.635,0.440,0.712,dnT_2,9
CD223,2.209,397.371,0.452,0.724,dnT_2,10
`TCR-V-2`,2.947,54.850,0.968,0.972,gdT_1,1
`TCR-V-9`,2.189,55.015,0.965,0.975,gdT_1,2
`CD3-1`,2.262,54.982,0.966,0.974,gdT_1,3
CD161,2.280,55.118,0.966,0.976,gdT_1,4
CD252,0.434,55.084,0.966,0.976,gdT_1,5
CD8,-1.023,55.221,0.966,0.978,gdT_1,6
CD307d,-0.733,55.221,0.966,0.978,gdT_1,7
CD206,-0.806,55.187,0.966,0.978,gdT_1,8
CD172a,-0.300,55.187,0.966,0.978,gdT_1,9
`TCR-2`,-2.252,55.049,0.965,0.975,gdT_1,10
CD57,1.320,8.093,0.006,0.068,gdT_2,1
`CD3-1`,3.834,71.974,0.178,0.601,gdT_2,2
CD244,0.756,70.494,0.160,0.589,gdT_2,3
`CD56-2`,1.670,79.157,0.245,0.661,gdT_2,4
CLEC2,0.549,81.281,0.271,0.679,gdT_2,5
`TCR-2`,-3.117,85.100,0.379,0.710,gdT_2,6
`Integrin-7`,-2.347,88.545,0.468,0.739,gdT_2,7
CD8,-1.474,91.052,0.535,0.760,gdT_2,8
CD161,-3.710,94.201,0.603,0.786,gdT_2,9
CD27,-1.678,95.074,0.625,0.794,gdT_2,10
CD27,3.159,5.531,0.001,0.043,gdT_3,1
CD314,0.960,56.362,0.048,0.443,gdT_3,2
CD305,3.207,46.167,0.062,0.363,gdT_3,3
`TCR-1`,3.365,79.241,0.203,0.623,gdT_3,4
CD31,-0.499,81.005,0.206,0.637,gdT_3,5
CD8,-3.033,99.024,0.586,0.778,gdT_3,6
`CD4-2`,-4.565,98.072,0.585,0.771,gdT_3,7
CD19,-2.423,99.681,0.644,0.784,gdT_3,8
CD161,-2.390,102.698,0.705,0.807,gdT_3,9
CD244,-1.915,104.732,0.732,0.823,gdT_3,10
TIGIT,2.997,65.494,0.031,0.372,gdT_4,1
`CD3-1`,2.618,83.376,0.103,0.474,gdT_4,2
CD244,2.091,100.384,0.139,0.570,gdT_4,3
`Integrin-7`,1.121,96.106,0.170,0.546,gdT_4,4
CD81,1.532,94.692,0.162,0.538,gdT_4,5
CD8,-2.142,128.444,0.361,0.730,gdT_4,6
`TCR-V-2`,-1.691,133.839,0.454,0.760,gdT_4,7
`CD4-2`,-2.652,131.202,0.464,0.745,gdT_4,8
CD47,-2.135,131.883,0.490,0.749,gdT_4,9
CD279,0.948,131.511,0.502,0.747,gdT_4,10
`TCR-V-7.2`,3.854,25.561,0.726,0.772,MAIT,1
`CD26-2`,2.376,29.557,0.852,0.892,MAIT,2
CD161,2.570,30.621,0.881,0.925,MAIT,3
CD195,2.005,30.781,0.908,0.929,MAIT,4
CD8a,0.418,30.896,0.909,0.933,MAIT,5
CD307e,-2.051,31.338,0.936,0.946,MAIT,6
CD117,1.540,31.670,0.943,0.956,MAIT,7
CD335,-1.198,31.683,0.944,0.957,MAIT,8
`CD4-1`,-0.124,31.684,0.944,0.957,MAIT,9
`Galectin-9`,0.335,31.662,0.945,0.956,MAIT,10
